RIC,Ex_Cntrb_ID,Bid_Price,Ask_Price,Mid_Price,Spread,DATE,TIME_MIN
GBP=,NEDBANK LTD  JHB,1.2519,1.2529,1.2524,1.00E-03,01/12/2016,00:15:22
GBP=,S E B        STO,1.2519,1.2529,1.2524,1.00E-03,01/12/2016,00:14:41
GBP=,S E B        STO,1.2519,1.2529,1.2524,1.00E-03,01/12/2016,00:15:21
GBP=,S E B        STO,1.2519,1.2529,1.2524,1.00E-03,01/12/2016,00:16:23
GBP=,S E B        STO,1.2518,1.2528,1.2523,1.00E-03,01/12/2016,00:15:01
GBP=,S E B        STO,1.2518,1.2528,1.2523,1.00E-03,01/12/2016,00:15:41
GBP=,S E B        STO,1.2518,1.2528,1.2523,1.00E-03,01/12/2016,00:16:01
GBP=,S E B        STO,1.2518,1.2528,1.2523,1.00E-03,01/12/2016,00:16:42
GBP=,S E B        STO,1.2516,1.2526,1.2521,1.00E-03,01/12/2016,00:09:59
GBP=,S E B        STO,1.2515,1.2525,1.252,1.00E-03,01/12/2016,00:09:19
GBP=,S E B        STO,1.2515,1.2525,1.252,1.00E-03,01/12/2016,00:09:39
GBP=,S E B        STO,1.2515,1.2525,1.252,1.00E-03,01/12/2016,00:10:19
GBP=,S E B        STO,1.2515,1.2525,1.252,1.00E-03,01/12/2016,00:13:20
GBP=,S E B        STO,1.2514,1.2524,1.2519,1.00E-03,01/12/2016,00:13:00
GBP=,S E B        STO,1.2514,1.2524,1.2519,1.00E-03,01/12/2016,00:13:41
GBP=,S E B        STO,1.2514,1.2524,1.2519,1.00E-03,01/12/2016,00:14:21
GBP=,S E B        STO,1.2513,1.2523,1.2518,1.00E-03,01/12/2016,00:12:40
GBP=,S E B        STO,1.2513,1.2523,1.2518,1.00E-03,01/12/2016,00:14:01
GBP=,S E B        STO,1.2512,1.2522,1.2517,1.00E-03,01/12/2016,00:11:41
GBP=,S E B        STO,1.2512,1.2522,1.2517,1.00E-03,01/12/2016,00:12:00
GBP=,S E B        STO,1.2512,1.2522,1.2517,1.00E-03,01/12/2016,00:12:20
GBP=,HSBC         LON,1.2511,1.2521,1.2516,1.00E-03,01/12/2016,00:11:21
GBP=,NEDBANK LTD  JHB,1.2511,1.2521,1.2516,1.00E-03,01/12/2016,00:11:23
GBP=,S E B        STO,1.2511,1.2521,1.2516,1.00E-03,01/12/2016,00:11:20
GBP=,S E B        STO,1.251,1.252,1.2515,0.001,01/12/2016,00:10:40
GBP=,S E B        STO,1.2509,1.2519,1.2514,0.001,01/12/2016,00:11:00
GBP=,HSBC         LON,1.2517,1.2526,1.25215,9.00E-04,01/12/2016,00:14:51
GBP=,HSBC         LON,1.2515,1.2524,1.25195,9.00E-04,01/12/2016,00:13:11
GBP=,NEDBANK LTD  JHB,1.2515,1.2524,1.25195,9.00E-04,01/12/2016,00:13:14
GBP=,HSBC         LON,1.2513,1.2522,1.25175,9.00E-04,01/12/2016,00:12:39
GBP=,HSBC         LON,1.2519,1.2527,1.2523,8.00E-04,01/12/2016,00:15:23
GBP=,HSBC         LON,1.2519,1.2527,1.2523,8.00E-04,01/12/2016,00:16:25
GBP=,NEDBANK LTD  JHB,1.2519,1.2527,1.2523,8.00E-04,01/12/2016,00:16:26
GBP=,HSBC         LON,1.2515,1.2523,1.2519,8.00E-04,01/12/2016,00:14:21
GBP=,HSBC         LON,1.2513,1.2521,1.2517,8.00E-04,01/12/2016,00:11:51
