Date,Open,High,Low,Last,Vol,Diff,Hash,LS,LS_TH_S,LS_P,LS_MWh_TH,HS,HS_TH_S,HS_P,HS_MWh_TH,UK_EP,US_EP,AUS_EP,RU_EP
2012-04-19,5.17,5.18,5.06,5.13,288111.6243,1577913,12.23640675,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.481478,28.19,39.0783727,30.0426
2012-04-20,5.15,5.38,5.09,5.38,288111.6243,1577913,12.23640675,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,28.45,45.4834287,29.5864
2012-04-21,5.4,5.43,5.19,5.24,336827.7813,1577913,11.53046021,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,26.1,36.9784395,30.5039
2012-04-22,5.24,5.25,5.17,5.17,336827.7813,1577913,11.53046021,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,27.02,30.5841321,25.7296
2012-04-23,5.2,5.25,5,5,279236.4544,1577913,11.60889871,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.74401,32,38.192742,30.6223
2012-04-24,4.99,5.15,4.98,5.08,279236.4544,1577913,11.60889871,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.867585,30.23,39.2272362,28.7717
2012-04-25,5.12,5.14,4.86,5.14,200350.7712,1577913,10.82451367,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.01953,30.3,33.4902678,32.3050
2012-04-26,5.1,5.12,4.86,4.94,200350.7712,1577913,10.82451367,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.48908,29.57,33.2158268,32.1367
2012-04-27,5.03,5.08,4.99,5.04,146562.9009,1508590,9.883251608,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,29.38,35.8487128,31.6753
2012-04-28,5.07,5.07,4.85,4.91,146562.9009,1508590,9.883251608,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,27.55,33.9226008,31.0098
